GEO.id2,HC01_VC04,HC01_VC05,HC01_VC06,HC01_VC07,HC01_VC08,HC01_VC09,HC01_VC10,HC01_VC11,HC01_VC12,HC01_VC13,HC01_VC14,HC01_VC17,HC01_VC18,HC01_VC21,HC01_VC22,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC101,HC01_VC141,HC01_VC142,HC01_VC149,HC01_VC150,HC01_VC151,HC01_VC154,HC01_VC155,HC01_VC156,HC01_VC161,HC01_VC162,HC01_VC163,HC01_VC164,HC01_VC165,HC01_VC166,HC01_VC172,HC01_VC173,HC01_VC174,HC01_VC175,HC01_VC176,HC01_VC177,HC01_VC178,HC01_VC179,HC01_VC180,HC01_VC181,HC01_VC187,HC01_VC188,HC01_VC189,HC01_VC190,HC01_VC191,HC01_VC192,HC01_VC193,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC197,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209,HC01_VC210,HC01_VC211,HC01_VC212,TotalDrugReports
21001,4707,1690,3741,1258,263,120,703,312,2341,2104,967,1879,2203,2.5,3.1,18,8,45,17,83,20,1224,64,179,61,8,53,243,45,198,48,70,0,0,94,31,342,187,260,160,58,16,11,5,13,6,17,0,26,144,4386,362,36,1612,5,49,1827,125,30,65,64,0,8,216,367,0,28,75,0,8,35,9,16.0
21003,5507,2453,4464,1870,313,199,730,384,2267,2003,931,2673,2284,2.59,3.13,37,21,38,0,96,1,1382,67,171,289,0,289,238,17,221,0,89,0,12,123,14,1273,463,243,164,1015,299,15,0,0,0,10,25,0,424,1956,336,11,2599,206,76,1809,264,0,16,108,0,0,390,285,9,0,36,162,0,86,0,12.0
21005,6015,2654,4760,1902,332,203,923,549,2431,1964,891,3039,2068,2.56,3.05,68,28,54,11,133,8,1675,62,136,118,64,54,198,11,187,29,44,0,0,125,0,235,65,163,33,44,17,24,15,4,0,0,23,101,158,2801,368,44,2818,38,21,3225,515,0,48,157,0,9,484,853,0,0,49,12,5,413,29,17.0
21007,2180,772,1766,546,103,24,311,202,1108,984,491,1003,1143,2.48,2.98,29,37,61,38,150,1,604,131,21,53,0,53,152,10,142,55,72,1,0,24,0,249,6,51,4,158,0,40,2,0,0,10,25,0,117,679,243,1,910,58,0,1066,82,2,24,75,3,10,136,174,0,4,2,24,0,37,0,1.0
21009,11755,4993,9004,3280,717,394,2034,1319,5224,4840,2185,5552,4864,2.48,3.03,213,48,55,46,112,12,2597,134,618,114,11,103,752,164,588,71,172,3,0,417,89,1450,526,819,252,432,200,199,74,0,0,20,48,61,550,5639,716,108,3677,8,32,3739,702,0,89,322,0,0,576,984,23,84,671,51,9,248,0,47.0
21011,2950,1168,2238,795,211,128,501,245,1347,1133,580,1337,1321,2.76,3.36,73,64,50,104,78,12,582,3,87,29,0,29,90,0,90,3,0,0,0,87,0,327,69,223,44,96,19,8,6,0,0,0,0,0,90,1122,79,2,1054,47,0,1535,4,0,6,79,0,15,96,339,0,39,123,79,0,51,0,74.0
21013,7049,2848,4666,1758,541,181,1842,909,4039,3539,1590,3488,3516,2.44,3.1,106,33,34,30,64,11,1749,36,86,100,0,100,122,48,74,36,38,0,0,48,0,333,168,131,60,136,92,66,16,0,0,4,0,5,94,1347,168,6,1263,44,18,2009,230,0,53,109,0,0,274,336,0,12,46,9,0,29,0,329.0
21015,33557,16407,26190,12004,2218,1371,5149,3032,11152,9164,3136,17801,9472,2.77,3.21,391,30,53,5,113,17,8370,2351,3942,988,162,826,6293,997,5296,694,2603,720,73,1869,334,7681,3405,3070,1382,1794,598,1849,1102,968,323,436,185,218,1301,12904,2309,410,38474,199,496,20656,5114,122,657,1922,266,252,1554,2955,89,805,652,195,162,874,91,361.0
21017,5281,2332,3815,1547,390,128,1076,657,2586,2122,845,2619,2290,2.51,3.05,75,31,40,84,78,0,1363,141,840,35,0,35,981,91,890,114,58,12,5,777,15,1166,814,1041,739,83,33,42,42,0,0,31,15,41,300,1949,281,79,2349,0,47,2460,312,11,106,135,8,6,400,372,0,7,59,34,25,31,0,16.0
21019,13170,4981,9780,3235,1067,481,2323,1265,6213,5315,2352,5909,6044,2.41,2.89,135,27,46,18,102,9,4226,339,165,232,0,232,504,46,458,179,137,2,0,186,0,815,219,426,144,290,66,70,9,29,0,91,5,21,734,5509,503,46,7129,45,96,8182,793,14,84,218,68,239,874,1166,15,63,198,17,14,581,10,203.0
21021,7107,2618,5530,1788,391,157,1186,673,3938,3435,1393,3005,3423,2.42,3.04,86,24,49,14,96,23,1897,288,395,153,15,138,683,99,584,41,238,5,0,390,9,1040,437,656,320,114,9,172,83,98,25,63,71,80,353,3185,511,44,3843,67,65,4341,432,0,129,250,20,41,406,635,23,109,202,78,0,305,7,53.0
21023,2147,908,1648,652,147,56,352,200,1156,979,474,1102,975,2.54,3.2,47,54,65,0,159,8,544,3,65,8,0,8,68,24,44,3,0,0,0,65,0,112,23,106,20,6,3,0,0,0,0,17,45,0,170,967,85,6,2312,0,70,1022,111,0,0,89,0,9,70,118,0,0,7,3,0,24,0,16.0
21025,3688,1368,2470,874,323,95,895,399,1806,1658,570,1738,1501,2.41,2.94,125,79,62,44,120,23,597,26,31,30,0,30,57,6,51,12,29,0,0,7,9,156,27,99,21,42,6,10,0,5,0,0,8,0,51,1223,29,7,682,0,5,1179,71,0,12,6,0,1,159,176,0,14,27,5,0,4,0,30.0
21027,5212,1752,4293,1313,321,144,598,295,2085,1724,742,2035,2288,2.71,3.22,124,67,78,18,156,39,1520,37,28,51,0,51,65,0,65,11,24,0,0,30,0,453,157,195,79,249,78,9,0,0,0,0,0,4,370,2673,449,64,3014,9,13,2625,300,0,28,91,7,46,193,326,8,19,42,183,0,22,0,1.0
21029,21024,8328,15849,5492,1674,843,3501,1993,7243,5894,2279,9495,7122,2.71,3.12,370,39,48,13,98,19,5556,518,238,323,27,296,756,39,717,80,352,17,0,283,24,1292,335,622,170,337,43,294,105,39,17,60,89,74,766,6206,1289,142,13031,91,111,11170,1923,0,150,774,34,55,680,896,6,15,357,173,184,429,0,88.0
21031,3568,1521,2732,1039,263,124,573,358,1608,1457,579,1677,1478,2.44,2.93,43,36,52,36,102,9,740,27,136,22,0,22,163,16,147,27,0,0,0,136,0,484,293,359,222,108,71,17,0,0,0,0,0,4,251,1105,252,0,1168,0,0,1732,131,0,15,52,20,0,140,220,0,5,52,11,0,34,5,12.0
21033,3665,1180,2652,652,232,73,781,455,1628,1438,719,1472,1763,2.39,2.86,47,34,79,228,128,0,870,6,0,2,0,2,6,0,6,0,6,0,0,0,0,14,0,14,0,0,0,0,0,0,0,18,3,0,65,980,192,0,1357,0,16,1733,292,0,8,99,0,0,279,223,0,156,63,21,5,71,0,16.0
21035,8561,3414,6671,2391,536,313,1354,710,6273,5073,1829,3911,4131,2.35,3.02,115,17,31,0,55,13,2378,448,1705,161,0,161,2153,946,1207,316,1205,96,8,465,63,2105,1056,770,349,319,147,651,430,365,130,533,29,11,390,3828,645,55,4950,128,44,5058,767,19,150,371,65,44,715,1008,6,284,154,56,14,240,55,18.0
