GEO.id2,HC01_VC04,HC01_VC06,HC01_VC07,HC01_VC08,HC01_VC09,HC01_VC10,HC01_VC11,HC01_VC12,HC01_VC13,HC01_VC14,HC01_VC15,HC01_VC17,HC01_VC18,HC01_VC20,HC01_VC21,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC99,HC01_VC139,HC01_VC140,HC01_VC146,HC01_VC147,HC01_VC148,HC01_VC150,HC01_VC151,HC01_VC152,HC01_VC157,HC01_VC158,HC01_VC159,HC01_VC160,HC01_VC161,HC01_VC162,HC01_VC168,HC01_VC170,HC01_VC171,HC01_VC172,HC01_VC173,HC01_VC174,HC01_VC175,HC01_VC176,HC01_VC177,HC01_VC178,HC01_VC184,HC01_VC185,HC01_VC186,HC01_VC187,HC01_VC188,HC01_VC189,HC01_VC190,HC01_VC191,HC01_VC192,HC01_VC193,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC197,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209,TotalDrugReports
21001,4754,1730,3844,1264,394,190,516,276,2439,2169,1024,1969,2207,2.46,3.06,0,0,46,7,90,22,1337,65,80,109,14,95,145,95,50,67,46,0,0,27,5,573,201,199,28,256,137,36,36,82,0,0,0,0,171,4141,348,25,1337,0,53,1769,361,35,20,93,13,0,324,114,0,95,33,5,0,1,11,19.0
21003,5454,2259,4058,1526,401,187,995,546,2395,2109,813,2590,2063,2.49,3.03,121,61,79,72,168,9,1521,91,203,277,88,189,294,98,196,29,57,0,0,137,71,813,394,366,136,391,202,56,56,0,0,6,0,16,340,1906,213,39,2274,0,18,2646,270,0,28,120,33,0,466,336,12,0,8,45,0,29,0,17.0
21005,6008,2753,4608,1929,271,180,1129,644,2378,1876,720,3187,1815,2.52,2.95,28,11,52,15,118,13,1692,214,71,126,36,90,285,128,157,84,52,0,8,141,0,634,295,393,236,199,43,42,16,0,0,12,19,24,266,2627,509,255,2708,11,14,3661,556,0,9,139,0,161,589,328,0,27,86,58,223,110,0,40.0
21007,2327,870,1942,650,163,102,222,118,1031,857,416,1005,985,2.42,2.84,67,89,75,33,123,55,740,41,60,15,6,9,101,26,75,48,28,0,0,22,3,171,40,95,17,55,10,21,13,0,0,0,0,4,158,819,291,10,1146,21,0,1446,94,7,33,123,10,10,171,87,7,2,33,0,0,26,12,1.0
21009,11780,5041,9083,3590,569,219,2128,1232,4928,4354,2158,5796,4651,2.46,2.96,265,65,56,75,108,13,2758,248,467,78,7,71,715,336,379,35,174,5,0,367,134,1462,474,758,154,614,320,90,0,0,0,0,27,0,612,4942,433,248,4621,27,29,3444,531,10,50,260,27,1,912,1439,19,65,98,29,9,225,22,102.0
21011,3008,1420,2287,886,114,75,607,459,1298,1160,458,1664,1119,2.67,3.21,78,55,69,72,138,16,583,23,78,9,0,9,101,19,82,4,0,0,0,97,0,241,26,172,26,67,0,2,0,0,0,4,0,0,246,1468,188,0,1081,0,0,2113,41,0,97,83,0,0,209,265,0,34,39,16,0,34,0,67.0
21013,7237,2856,4988,1720,626,264,1623,872,3395,3084,1429,3426,3105,2.6,3.19,183,54,67,82,115,25,1790,43,36,100,9,91,79,25,54,16,30,0,0,25,8,317,138,254,104,53,34,10,0,0,0,106,0,0,200,2298,310,0,1144,76,40,2070,278,0,61,103,0,0,339,217,0,71,60,0,0,62,9,125.0
21015,30860,15534,25095,12262,1737,953,4028,2319,10983,8917,2399,16674,7704,2.78,3.27,403,33,51,20,89,29,8584,2140,3376,1273,446,827,5516,3047,2469,865,2461,494,0,1400,296,6553,3079,2690,1058,1550,556,1650,1193,663,272,293,90,88,2016,13749,2617,422,39868,177,457,21348,4437,74,694,1917,71,380,2135,2963,126,766,615,168,235,771,8,137.0
21017,5449,2398,3902,1654,280,135,1267,609,2484,2162,876,2776,2203,2.49,2.99,146,64,56,61,117,15,1477,164,758,137,0,137,922,560,362,83,44,0,7,781,7,1167,491,1038,491,68,0,61,0,0,0,19,20,24,156,2578,504,16,2224,23,30,2769,308,3,105,163,0,11,479,282,0,11,73,97,0,80,0,28.0
21019,12961,5011,9674,3370,938,408,2349,1233,6560,5830,2672,5892,5917,2.4,2.96,253,47,46,32,88,17,4535,354,280,239,63,176,634,167,467,286,118,29,0,169,32,1038,446,590,336,318,80,77,30,53,0,136,82,29,661,6230,731,55,7025,74,70,9284,1018,19,136,280,61,234,1120,1100,23,126,160,28,12,379,135,354.0
