GEO.id2,HC01_VC04,HC01_VC05,HC01_VC06,HC01_VC07,HC01_VC08,HC01_VC09,HC01_VC10,HC01_VC11,HC01_VC12,HC01_VC13,HC01_VC14,HC01_VC17,HC01_VC18,HC01_VC21,HC01_VC22,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC101,HC01_VC141,HC01_VC142,HC01_VC149,HC01_VC150,HC01_VC151,HC01_VC154,HC01_VC155,HC01_VC156,HC01_VC161,HC01_VC162,HC01_VC163,HC01_VC164,HC01_VC165,HC01_VC166,HC01_VC172,HC01_VC173,HC01_VC174,HC01_VC175,HC01_VC176,HC01_VC177,HC01_VC178,HC01_VC179,HC01_VC180,HC01_VC181,HC01_VC187,HC01_VC188,HC01_VC189,HC01_VC190,HC01_VC191,HC01_VC192,HC01_VC193,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC197,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209,HC01_VC210,HC01_VC211,HC01_VC212,TotalDrugReports
21001,4934,1762,3951,1317,250,113,733,332,2192,1992,858,1953,2211,2.51,3.05,18,8,50,12,93,24,1197,51,151,74,9,65,202,47,155,10,53,0,0,112,27,383,182,293,158,54,15,11,4,25,5,14,6,24,122,3961,358,17,1791,6,51,1929,152,0,70,205,6,44,155,398,0,29,87,0,5,82,8,20.0
21003,5561,2397,4447,1771,301,191,813,435,2144,1922,848,2575,2259,2.62,3.14,58,32,48,0,119,2,1398,55,153,329,0,329,208,19,189,5,55,0,10,124,14,1417,477,251,159,1151,318,15,0,0,0,0,23,13,397,1927,364,11,2497,198,51,1877,320,9,30,260,0,27,246,303,8,0,136,119,0,74,0,24.0
21005,6016,2551,4773,1804,333,181,910,566,2538,2084,998,2855,2222,2.54,3.0,78,33,62,0,138,26,1613,19,201,34,0,34,220,9,211,58,0,0,0,162,0,264,47,139,29,113,18,8,0,4,0,0,19,86,131,2901,453,19,3081,35,21,3242,556,46,83,202,0,5,592,845,0,0,49,13,6,386,62,22.0
21007,2134,767,1716,522,114,42,304,203,1118,993,480,971,1157,2.49,3.04,23,28,49,58,106,0,608,124,17,69,0,69,141,8,133,50,69,3,0,19,0,241,5,33,0,166,0,42,5,0,0,7,24,0,106,694,275,2,934,51,0,988,105,2,22,52,3,6,146,202,0,0,5,17,0,34,0,1.0
21009,11555,4787,8865,3203,572,257,2118,1327,5211,4628,1996,5306,4737,2.54,3.08,165,35,50,36,97,16,2528,169,589,151,9,142,758,140,618,114,163,0,0,458,23,1537,554,938,242,404,226,195,86,0,0,66,34,96,427,5014,650,53,3376,9,46,3832,784,0,99,301,0,0,722,983,24,58,553,65,7,283,0,37.0
21011,3123,1148,2366,788,166,109,591,251,1327,1062,529,1350,1377,2.7,3.22,45,42,39,60,75,3,581,17,110,46,18,28,127,13,114,0,13,0,0,114,0,330,96,215,61,84,29,31,6,0,0,0,0,0,80,1107,88,3,1114,43,0,1321,72,0,5,26,0,15,66,335,0,19,96,62,0,64,0,18.0
21013,7104,3027,4618,1824,663,250,1823,953,3874,3368,1554,3521,3556,2.43,3.06,143,46,44,24,94,8,1598,54,74,79,0,79,128,45,83,30,39,0,14,45,0,323,166,129,57,121,91,73,18,0,0,3,0,6,136,1410,195,8,1501,47,1,2346,181,0,30,158,0,0,218,287,0,8,40,9,0,23,0,213.0
21015,34536,16691,26659,12023,2502,1521,5375,3147,11113,9104,3209,18161,9961,2.73,3.16,377,29,54,8,113,21,8225,2184,3317,766,164,602,5501,1000,4501,610,2336,556,77,1676,246,7338,3396,3012,1534,1582,482,2087,1144,657,236,301,196,373,1604,13113,2626,347,38426,317,404,21220,4641,153,1082,2221,355,297,1367,2919,112,730,709,171,161,1277,168,269.0
21017,5241,2327,3683,1420,489,198,1069,709,2802,2339,951,2614,2407,2.46,3.02,183,77,73,91,149,8,1334,218,769,31,0,31,987,98,889,146,70,12,0,753,6,1189,832,1051,742,83,35,55,55,0,0,23,5,30,359,1721,330,59,2488,1,20,2198,229,22,65,133,7,13,313,314,0,0,43,38,19,89,0,25.0
21019,13207,4941,9790,3196,1146,548,2271,1197,6179,5329,2205,5961,6115,2.4,2.89,213,42,54,16,106,23,4224,279,164,164,0,164,443,63,380,132,102,0,0,181,28,671,190,368,125,221,57,80,8,2,0,2,4,9,620,4908,532,62,6620,66,55,7827,615,18,193,315,138,23,976,1131,0,69,164,10,12,487,10,123.0
