GEO.id2,HC01_VC04,HC01_VC06,HC01_VC07,HC01_VC08,HC01_VC09,HC01_VC10,HC01_VC11,HC01_VC12,HC01_VC13,HC01_VC14,HC01_VC15,HC01_VC17,HC01_VC18,HC01_VC20,HC01_VC21,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC99,HC01_VC139,HC01_VC140,HC01_VC146,HC01_VC147,HC01_VC148,HC01_VC150,HC01_VC151,HC01_VC152,HC01_VC157,HC01_VC158,HC01_VC159,HC01_VC160,HC01_VC161,HC01_VC162,HC01_VC168,HC01_VC170,HC01_VC171,HC01_VC172,HC01_VC173,HC01_VC174,HC01_VC175,HC01_VC176,HC01_VC177,HC01_VC178,HC01_VC184,HC01_VC185,HC01_VC186,HC01_VC187,HC01_VC188,HC01_VC189,HC01_VC190,HC01_VC191,HC01_VC192,HC01_VC193,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC197,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209,TotalDrugReports
21001,5004,1945,4124,1506,377,160,503,279,2268,2037,916,2258,2113,2.41,2.93,0,0,65,78,110,20,1321,73,54,85,12,73,127,56,71,26,41,0,0,53,7,645,158,284,57,197,60,63,41,101,0,0,0,0,263,3576,241,149,1539,16,51,1824,325,10,25,149,30,0,370,81,0,69,20,2,0,199,7,7.0
21003,5526,2363,4011,1519,476,222,1039,622,2285,1995,734,2662,1995,2.47,2.95,121,56,85,86,173,12,1417,118,207,290,98,192,325,103,222,32,63,0,0,138,92,817,345,373,130,397,168,47,47,0,0,8,0,13,349,1954,268,37,1924,0,0,2333,328,0,26,127,35,0,350,335,24,0,0,0,0,12,0,30.0
21005,6148,2771,4848,1891,267,168,1033,712,2171,1734,679,3137,1719,2.51,2.89,46,20,48,12,113,10,1738,242,121,113,38,75,363,196,167,104,41,0,10,203,5,680,314,393,275,195,39,92,0,0,0,17,39,11,334,2614,470,132,2971,0,42,3542,458,0,39,162,0,148,671,438,0,29,84,74,204,137,0,34.0
21007,2408,1001,2001,725,193,137,214,139,955,806,415,1064,987,2.45,2.85,55,74,73,35,133,46,736,39,53,22,6,16,92,30,62,42,32,0,0,16,2,168,38,98,12,46,10,24,16,0,0,0,0,3,123,924,337,9,1151,19,0,1385,138,6,37,80,0,17,253,83,8,11,101,0,0,35,14,1.0
21009,11722,4825,9189,3586,470,134,2063,1105,5005,4432,2075,5565,4591,2.46,2.97,303,74,72,86,135,20,2800,259,361,103,9,94,620,203,417,57,173,0,0,310,80,1621,601,845,221,679,361,97,19,0,0,0,48,0,779,4441,441,137,4623,33,37,3277,500,9,73,287,36,0,988,1509,38,35,90,39,9,182,28,62.0
21011,3088,1396,2426,872,93,81,569,443,1250,1088,363,1725,1001,2.61,3.12,73,51,76,0,201,5,660,18,15,8,0,8,33,33,0,0,0,0,0,33,0,142,84,85,67,45,8,12,9,0,0,5,0,0,199,1529,188,0,1165,0,0,1946,61,0,155,20,0,0,199,273,0,0,34,17,0,99,0,52.0
21013,7575,2900,5268,1724,705,281,1602,895,3327,2960,1469,3460,3211,2.53,3.05,176,51,70,84,128,21,1797,57,23,73,6,67,80,23,57,0,16,19,0,36,9,397,128,330,104,38,24,10,0,19,0,159,0,0,213,2352,307,0,1054,52,16,1764,183,0,8,136,0,0,278,243,0,47,88,0,0,53,0,263.0
21015,30519,15658,24522,11987,1777,1027,4220,2644,11093,8926,2267,16747,7041,2.74,3.23,458,37,55,29,98,30,8232,2000,3075,1076,307,769,5075,2459,2616,967,2072,367,0,1325,344,6317,2846,2728,1197,1608,454,1582,1004,399,191,251,131,91,2108,14830,2530,368,39499,284,399,21387,4718,65,632,2041,107,392,2094,3299,149,504,722,151,194,954,163,144.0
21017,5548,2508,3916,1689,280,115,1352,704,2584,2314,856,2858,1975,2.41,2.9,191,87,58,52,128,16,1558,202,635,212,22,190,837,477,360,114,49,0,0,668,6,1055,467,957,467,47,0,51,0,0,0,11,9,16,230,2298,383,24,2479,22,14,2877,299,0,72,175,0,44,422,269,0,11,82,74,0,75,0,48.0
21019,13036,5080,9728,3224,798,385,2510,1471,6506,5885,2646,5885,5946,2.39,2.96,279,50,49,17,108,13,4850,299,257,173,22,151,556,142,414,275,106,10,0,138,27,968,437,496,315,334,87,119,35,19,0,63,92,11,833,6257,808,95,6774,90,14,9374,863,14,156,276,65,46,1174,1074,9,143,156,20,13,323,238,307.0
21021,7543,3299,5587,2066,437,258,1519,975,3244,2917,1261,3552,3130,2.37,2.83,112,34,61,9,132,21,2287,376,414,247,17,230,790,312,478,120,152,0,10,474,34,1119,400,771,265,190,40,121,95,37,0,36,0,16,402,3993,499,80,3913,18,28,3821,669,27,59,263,24,11,1066,580,28,56,89,79,8,290,0,60.0
21023,2244,896,1725,631,172,80,347,185,933,822,429,1048,869,2.67,3.2,43,44,72,7,171,21,514,3,55,35,10,25,58,55,3,0,0,0,0,58,0,118,70,115,70,3,0,0,0,0,0,16,0,6,87,1019,113,0,2276,42,5,1726,221,0,0,53,0,77,118,255,0,0,2,8,0,13,0,10.0
21025,3338,1185,2357,690,375,99,606,396,1919,1813,738,1326,1420,2.66,3.47,77,47,41,0,83,20,687,24,59,44,0,44,83,32,51,5,19,0,10,49,0,195,151,155,116,16,11,14,14,10,10,0,0,10,24,1596,79,0,1223,82,0,1192,285,0,0,0,0,0,162,111,0,0,0,28,0,16,11,104.0
21027,5423,1790,4303,1298,354,175,766,317,2051,1737,791,2168,2239,2.61,3.07,85,44,49,24,120,6,1763,49,21,89,0,89,70,33,37,10,11,0,0,41,8,503,217,173,89,319,128,11,0,0,0,0,0,0,372,2673,512,24,3602,3,9,4080,412,0,57,130,92,36,584,406,168,0,128,100,0,19,21,13.0
21029,20418,9405,16106,6664,1269,798,3043,1943,6848,5606,1822,10569,5484,2.65,3.04,318,41,51,15,108,22,6214,563,158,477,22,455,721,97,624,271,333,0,0,117,0,1425,459,874,312,259,47,233,100,59,0,176,49,98,770,7399,1138,255,13774,180,33,10901,1605,21,340,923,31,56,825,1278,0,10,551,159,69,264,12,126.0
21031,3603,1423,2875,1025,168,76,560,322,1572,1320,563,1608,1375,2.43,2.92,44,39,93,0,214,11,999,13,165,135,7,128,178,137,41,13,7,0,0,137,21,251,186,229,186,4,0,0,0,18,0,0,0,0,204,1107,73,0,902,0,5,1147,75,0,8,56,0,0,252,81,0,0,115,0,0,22,0,5.0
21033,3418,1176,2775,899,201,102,442,175,1843,1678,859,1259,1718,2.45,3.05,45,35,52,0,135,0,1141,44,88,54,54,0,132,37,95,0,99,0,0,33,0,330,190,174,133,18,0,138,57,0,0,0,45,0,114,1625,248,50,1513,0,0,1715,186,0,45,78,0,15,333,332,9,0,15,0,0,37,0,11.0
21035,9108,3659,7474,2902,454,198,1180,559,5736,4706,1603,3995,3700,2.26,2.82,70,12,40,11,72,10,2595,295,847,167,0,167,1142,702,440,153,522,55,0,412,0,1879,703,904,378,289,69,604,243,82,13,115,18,38,591,4329,693,77,5489,74,56,4961,726,67,147,616,0,118,1407,931,131,117,361,25,32,100,43,4.0
21037,22457,9833,16917,6903,1297,573,4243,2357,12843,11153,3654,11034,8290,2.41,3.07,415,34,62,21,121,24,7066,668,899,292,95,197,1567,562,1005,409,594,89,73,285,117,2104,500,1065,228,640,121,261,97,138,54,283,130,119,1601,9009,2260,80,35426,305,210,16347,4262,53,247,921,30,168,1632,1837,102,81,448,216,138,664,10,230.0
21039,1510,661,1203,536,106,43,201,82,552,507,331,734,692,2.44,2.86,46,102,51,15,133,0,434,0,23,4,0,4,23,0,23,0,0,0,0,23,0,68,2,68,2,0,0,0,0,0,0,0,0,0,97,481,104,32,367,0,0,608,51,0,0,20,3,0,49,195,0,4,0,0,0,10,0,6.0
21041,2984,1266,1961,610,339,225,684,431,1238,969,384,1464,1044,2.51,2.88,39,30,50,28,41,65,787,140,357,12,0,12,497,269,228,13,110,0,0,374,0,787,506,616,441,112,51,59,14,0,0,2,19,8,157,1504,132,1,1654,0,0,1610,109,0,11,5,12,0,307,331,0,6,9,0,12,91,0,55.0
21043,7510,2907,6180,2155,459,307,871,445,3067,2613,1184,3196,2960,2.53,3.01,109,42,49,79,80,13,2066,20,44,168,0,168,64,25,39,22,19,13,0,10,0,142,45,94,27,41,11,7,7,0,0,0,13,6,570,3091,348,24,3637,7,66,4035,151,0,63,174,0,0,525,885,0,23,40,0,0,91,0,239.0
21045,4215,1551,3491,1199,269,187,455,165,1797,1664,832,1757,1790,2.61,3.18,17,12,43,10,104,0,1234,51,161,50,14,36,212,116,96,37,37,0,0,119,19,537,386,195,144,342,242,0,0,0,0,0,64,20,112,1487,240,15,1422,0,12,1252,83,7,18,155,41,45,460,187,0,0,47,125,0,58,28,57.0
21047,18746,10253,13324,6729,1138,511,4284,3013,7177,6400,2251,11027,5298,2.59,3.09,563,77,100,73,164,26,8159,745,1356,2076,757,1319,2101,1084,1017,320,678,39,12,991,61,4662,1973,2373,881,1498,714,583,279,208,99,108,175,90,809,7635,1310,96,8325,48,211,7019,2025,46,416,1072,91,47,1352,1018,32,939,477,243,12,140,252,50.0
21049,10365,4491,7717,3019,808,404,1840,1068,4170,3525,1533,5077,3607,2.42,2.81,360,100,73,72,144,19,2811,93,367,171,14,157,460,278,182,71,68,0,0,321,0,1099,543,803,441,187,34,109,68,0,0,0,47,53,207,3783,344,43,4177,26,77,4864,583,0,190,563,0,66,890,947,0,67,118,22,45,256,0,159.0
21051,4492,1646,3162,1232,446,90,884,324,2028,1838,733,1939,1878,3.21,4.03,103,36,42,25,74,25,915,97,148,8,0,8,245,30,215,13,132,39,0,61,0,395,99,254,55,27,0,94,44,20,0,11,0,0,112,1159,37,98,986,75,0,1681,125,0,10,18,42,14,139,235,0,129,66,39,0,77,20,84.0
21053,2847,1172,2000,653,338,185,509,334,1337,1256,511,1382,1244,2.43,3.04,39,36,56,0,79,52,660,49,133,0,0,0,182,97,85,38,0,41,0,86,17,234,148,159,112,75,36,0,0,0,0,0,0,15,51,4075,8,7,580,0,0,682,38,0,17,8,0,28,81,76,0,41,0,0,0,184,0,23.0
21055,2452,905,1915,650,158,41,379,214,1297,1207,557,1108,1234,2.45,3.08,7,8,16,0,43,0,771,16,40,55,29,26,56,17,39,22,10,0,7,17,0,659,335,140,69,495,256,24,10,0,0,0,6,5,105,1095,79,0,764,14,0,1210,127,0,0,14,0,0,173,114,0,0,27,20,0,43,0,12.0
21057,1765,681,1381,488,107,17,277,176,895,842,364,766,853,2.58,3.31,0,0,0,0,0,0,528,7,0,76,52,24,7,7,0,7,0,0,0,0,0,335,26,69,26,266,0,0,0,0,0,0,0,0,81,1097,131,0,753,0,0,444,36,0,10,13,0,0,30,131,4,3,16,70,0,0,0,7.0
21059,25205,10979,18919,7060,1535,859,4751,3060,12439,11076,4351,12211,9577,2.45,3.01,554,49,51,35,98,18,7837,888,850,316,52,264,1738,503,1235,515,396,45,0,716,66,2497,1013,1533,763,625,171,209,62,130,17,112,56,19,1045,11409,1766,190,13442,153,48,11722,1302,16,199,500,32,52,1549,1404,45,161,298,231,13,376,36,38.0
21061,3506,1383,2802,1004,251,96,453,283,1246,1097,416,1517,1338,2.43,2.84,21,20,56,10,136,11,906,7,113,21,0,21,120,7,113,104,0,0,7,0,9,304,111,171,34,91,77,7,0,35,0,0,0,0,74,1057,182,9,898,0,22,1295,135,0,0,133,0,0,166,333,0,35,0,0,0,32,0,10.0
21063,1781,701,1304,434,122,52,355,215,765,686,265,781,674,2.54,3.11,70,90,53,134,113,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,150,189,141,44,0,0,0,18,9,10,0,15,34,766,122,0,724,0,0,904,10,0,12,14,0,0,122,92,0,36,0,0,0,244,0,86.0
21065,3930,1637,2999,1144,229,67,702,426,1674,1562,729,1849,1562,2.61,3.16,31,20,48,189,61,6,869,0,43,70,0,70,43,31,12,0,0,0,0,43,0,306,142,215,142,91,0,0,0,0,0,0,0,35,102,1364,49,18,1185,0,19,1476,196,0,116,74,0,0,101,195,0,0,0,10,0,2,0,39.0
21067,69746,33027,50689,21480,4813,2507,14244,9040,51171,39364,9385,35958,21429,2.29,2.9,1291,28,48,38,75,18,19689,6392,18194,2311,391,1920,24586,15351,9235,3077,8468,1251,140,11094,556,28568,14012,15129,8661,6312,1745,5623,3075,1504,531,1818,480,714,3928,38127,6600,1383,42920,800,661,39145,7961,423,1921,4181,519,1244,8882,8625,287,1939,2030,708,478,2350,388,547.0
21069,3992,1771,3358,1411,163,59,471,301,1576,1434,726,1870,1512,2.55,3.08,85,64,43,12,118,0,1004,18,59,10,0,10,77,48,29,35,0,0,0,42,0,663,119,204,76,459,43,0,0,0,0,0,0,175,251,1853,172,0,2099,0,64,2726,345,0,15,14,0,36,233,343,0,15,19,56,0,65,11,49.0
21071,10731,4056,8022,2678,738,458,1971,920,4811,4150,1560,4920,3975,2.48,2.99,103,22,40,30,78,14,2466,31,148,46,0,46,179,92,87,37,43,14,0,44,41,364,66,151,35,103,0,88,31,22,0,0,0,50,512,3257,472,0,2956,14,137,4133,202,12,44,65,0,26,421,598,0,14,63,23,0,170,65,177.0
21073,12751,5801,9217,3572,881,623,2653,1606,8127,6990,2250,6306,4900,2.25,2.88,223,35,45,14,91,16,4376,484,1076,241,13,228,1560,784,776,124,615,37,10,734,40,2025,765,1293,568,283,49,421,148,28,0,40,51,28,781,6389,900,137,6780,24,76,7263,819,12,66,526,48,81,1362,1392,10,142,123,92,41,266,61,108.0
21075,2065,926,1355,490,221,104,489,332,866,798,354,998,883,2.22,2.63,51,63,58,31,161,0,640,13,24,5,5,0,37,0,37,37,0,0,0,0,0,241,21,173,5,68,16,0,0,0,0,0,0,2,21,510,115,0,773,0,0,640,116,0,24,114,0,0,78,84,0,155,0,32,0,19,0,24.0
21077,1963,748,1515,494,139,106,309,148,1008,762,235,1002,574,2.75,3.36,60,70,52,64,131,0,570,316,28,37,0,37,344,142,202,72,17,0,0,255,0,323,216,262,216,61,0,0,0,0,0,0,0,0,143,856,74,46,2140,0,0,1740,130,0,59,142,38,0,299,162,0,0,32,0,0,48,0,8.0
21079,4527,1906,3597,1436,273,123,657,347,1767,1573,710,2184,1706,2.67,3.14,25,13,38,0,108,0,1216,34,181,9,9,0,215,77,138,42,9,0,0,164,0,352,111,275,101,71,10,6,0,0,0,0,47,30,439,2127,235,0,2705,8,91,2680,253,20,80,48,0,0,494,611,0,0,83,0,0,60,5,27.0
21081,6898,3432,5149,2343,342,207,1407,882,2008,1666,503,3927,1902,2.75,3.09,220,87,91,87,200,4,1687,107,164,208,71,137,271,103,168,96,11,0,26,138,0,637,204,430,84,162,94,45,26,0,0,0,21,13,640,2514,380,33,6209,129,30,4434,553,0,86,312,7,14,469,430,31,0,62,35,0,192,0,39.0
21083,10180,4138,8281,3228,514,224,1385,686,4499,4068,1913,4777,4344,2.47,2.99,146,40,54,45,101,22,2803,190,1002,153,0,153,1192,506,686,21,96,74,0,987,14,2369,1040,1743,846,502,161,39,12,85,21,64,17,0,404,3806,620,36,4409,44,9,5056,399,0,48,144,27,33,842,551,0,11,137,38,19,135,20,14.0
