GEO.id2,HC01_VC04,HC01_VC05,HC01_VC06,HC01_VC07,HC01_VC08,HC01_VC09,HC01_VC10,HC01_VC11,HC01_VC12,HC01_VC13,HC01_VC14,HC01_VC17,HC01_VC18,HC01_VC21,HC01_VC22,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC101,HC01_VC141,HC01_VC142,HC01_VC149,HC01_VC150,HC01_VC151,HC01_VC154,HC01_VC155,HC01_VC156,HC01_VC161,HC01_VC162,HC01_VC163,HC01_VC164,HC01_VC165,HC01_VC166,HC01_VC172,HC01_VC173,HC01_VC174,HC01_VC175,HC01_VC176,HC01_VC177,HC01_VC178,HC01_VC179,HC01_VC180,HC01_VC181,HC01_VC187,HC01_VC188,HC01_VC189,HC01_VC190,HC01_VC191,HC01_VC192,HC01_VC193,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC197,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209,HC01_VC210,HC01_VC211,HC01_VC212
21001,4871,1691,3926,1299,257,99,688,293,2253,2012,935,1951,2171,2.51,3.06,17,8,58,32,99,29,1457,65,137,49,0,49,202,23,179,44,53,0,0,84,21,318,167,256,148,52,14,5,0,5,5,15,0,21,132,4355,281,28,1317,0,90,2071,304,32,56,42,0,7,227,301,0,14,84,0,0,18,5
21003,5593,2412,4463,1763,336,162,794,487,2464,2108,936,2689,2276,2.48,3.0,81,45,54,31,126,2,1439,52,162,378,0,378,214,12,202,0,41,0,11,126,36,1027,411,221,150,798,261,8,0,0,0,12,17,0,464,1891,342,12,2639,170,73,2258,267,0,18,118,0,0,279,411,24,0,41,140,0,102,0
21005,6008,2674,4757,1950,327,214,924,510,2345,1873,855,3107,2038,2.58,3.04,67,27,57,7,142,9,1566,86,115,155,63,92,201,0,201,79,33,0,0,89,0,561,184,223,117,231,61,102,6,5,0,0,20,116,133,2455,564,66,3089,39,59,3587,367,0,56,172,0,22,428,698,0,0,43,14,247,386,31
21007,2174,753,1826,582,80,19,268,152,1105,942,458,979,1111,2.49,2.98,7,10,63,4,144,23,655,40,25,45,0,45,65,12,53,22,28,0,0,15,0,136,9,76,3,17,3,43,3,0,0,12,19,0,93,710,240,2,1083,0,0,1104,77,2,25,57,2,11,100,112,0,3,17,0,0,52,0
21009,11589,4939,8914,3373,665,315,2010,1251,5200,4813,2302,5461,4771,2.5,3.06,203,48,50,36,98,14,2651,167,502,118,7,111,669,122,547,36,170,4,0,372,87,1310,382,816,206,339,123,155,53,0,0,22,38,66,413,5482,626,156,3927,0,7,3711,490,0,106,207,0,1,550,919,24,50,514,36,10,268,0
21011,3017,1251,2267,828,190,137,560,286,1344,1076,473,1548,1221,2.7,3.24,109,90,79,121,140,19,529,18,82,35,0,35,100,0,100,2,0,0,0,98,0,298,89,203,68,95,21,0,0,0,0,2,0,0,172,1440,66,3,1061,40,0,1548,30,0,58,74,0,6,132,323,0,51,104,84,0,89,0
21013,7403,2901,5021,1823,606,231,1776,847,3778,3318,1572,3528,3478,2.44,3.03,117,37,52,48,93,22,1757,76,34,144,0,144,110,0,110,9,101,0,0,0,0,447,213,117,36,167,120,163,57,0,0,3,0,6,127,1430,246,6,1214,37,19,2021,250,0,86,89,0,0,272,295,0,8,21,9,0,34,12
21015,32595,16134,25550,12224,2166,1287,4879,2623,11308,9320,3105,17398,9092,2.78,3.26,521,40,57,26,113,21,8632,2063,3451,1057,154,903,5514,765,4749,595,2539,693,40,1455,192,7261,2964,2717,848,1623,536,1958,1260,963,320,318,162,174,1386,14164,2519,321,38858,229,419,19719,4784,121,599,1976,282,299,1515,2920,98,891,791,153,180,862,36
21017,5304,2235,3852,1475,311,90,1141,670,2478,2062,883,2545,2253,2.53,3.06,112,46,47,117,80,6,1483,117,771,52,0,52,888,70,818,72,16,9,4,774,13,1104,741,1029,725,65,16,10,0,0,0,5,25,39,266,1862,307,70,2233,0,56,2434,305,10,119,141,9,15,351,416,0,8,35,32,22,51,0
21019,13291,5121,9961,3395,1102,515,2228,1211,6242,5469,2438,6164,5936,2.4,2.9,209,42,51,21,107,13,4506,367,177,216,0,216,544,20,524,217,127,10,0,159,31,844,220,461,158,297,51,56,11,30,0,143,6,34,699,5298,505,76,6565,45,99,8345,858,14,104,205,103,213,747,1104,16,114,141,18,33,467,8
