GEO.id2,HC01_VC03,HC01_VC36,HC01_VC43,HC01_VC52,HC01_VC62,HC01_VC70,HC01_VC76,HC01_VC85,HC01_VC101,HC01_VC106,HC01_VC119,HC01_VC130,HC01_VC140,HC01_VC146,HC01_VC160,HC01_VC171,HC01_VC186,TotalDrugReports
21001,7126,7800,8149,219,306,191,4981,12753,1197,3431,19024,19156,202,276,202,17820,3248,20.0
21003,7705,8058,8313,221,413,191,4444,13827,1398,3993,20240,20421,208,537,208,17769,3462,24.0
21005,8554,8436,9068,314,554,267,4965,14970,1613,3419,21521,21867,220,254,220,20281,3793,22.0
21007,3252,3313,3428,83,208,111,1890,5766,608,1155,8126,8216,141,210,141,7549,1505,1.0
21009,16766,16793,18046,482,923,526,10030,29416,2528,8407,42717,43287,758,909,758,39004,9561,37.0
21011,4450,4690,4931,105,207,113,2861,8115,581,2749,11998,12113,127,173,127,10995,2574,18.0
21013,10978,10960,11773,279,781,469,6020,19428,1598,8745,27414,27676,128,207,128,25706,5418,213.0
21015,45649,47653,49388,1654,2649,1177,34245,81533,8225,13840,124308,125656,5501,6267,5501,109681,10010,269.0
21017,8043,7842,8414,322,365,237,4345,13879,1334,3027,19753,20004,987,1018,987,17607,5468,25.0
21019,19386,19830,20397,572,1551,885,10665,34732,4224,9560,48096,48716,443,607,443,45228,8292,123.0
21021,10882,12203,12479,235,736,413,7515,19857,1866,4747,29420,29650,605,824,605,27254,7329,116.0
21023,3412,3314,3402,123,282,86,1825,5698,511,1199,8292,8404,74,79,74,7726,987,24.0
21025,5304,5519,5640,175,486,328,2634,9401,575,4392,13292,13476,60,89,60,12518,4970,23.0
21027,7343,8056,8151,328,509,221,4425,13867,1509,4088,19725,20000,103,157,103,18315,3541,4.0
21029,28533,30972,32044,1040,2134,1045,18220,53090,5443,11604,76948,77727,679,972,679,72151,19345,63.0
21031,5153,5192,5222,167,284,167,2628,8995,863,2896,12710,12828,145,150,145,11480,2732,19.0
21033,5322,4838,5478,209,298,181,2655,8938,836,2423,12596,12758,15,16,15,12001,2588,12.0
21035,15002,15456,16896,313,773,542,12857,23270,2383,5109,37976,38302,1987,2134,1987,34265,6832,36.0
21037,35954,36298,38694,1155,1610,691,23436,61794,5810,10430,90378,91456,2104,2648,2104,82809,6518,592.0
21039,2088,1976,2069,70,162,83,1040,3496,329,746,4887,4954,42,50,42,4596,705,0.0
21041,4030,4288,4198,186,343,162,2344,7196,805,2036,10579,10776,347,360,347,9307,3198,38.0
21043,10647,10838,11370,272,762,590,6534,18391,1325,5291,26991,27292,150,214,150,25395,4353,87.0
21045,6412,6356,6664,199,330,222,3274,11088,892,3326,15767,15928,194,255,194,14435,7601,21.0
21047,25382,29769,26070,1435,1433,891,18764,41893,5623,9827,72576,73936,2061,3261,2061,62377,9767,45.0
21049,14183,13918,15089,355,1045,626,7934,24981,2589,6215,35391,35706,589,825,589,32705,9176,119.0
21051,7679,9366,8065,333,642,328,4216,14897,927,4848,20773,21160,212,271,212,19460,4259,62.0
21053,3863,4047,4127,124,297,179,2159,6982,560,1528,10013,10172,138,154,138,9251,1545,21.0
21055,3721,3740,3723,77,287,182,1823,6459,772,1650,9114,9211,82,102,82,8087,1529,9.0
21057,2771,2673,2889,96,246,138,1383,4786,433,1041,6669,6780,51,51,51,6334,1080,31.0
21059,39282,37687,40885,1127,2276,1146,24894,66401,6609,15798,97670,98724,2438,3000,2438,88702,28062,50.0
21061,4712,5071,5109,97,313,176,2243,8595,876,3416,12018,12086,75,95,75,11298,2962,11.0
21063,2624,3722,2775,126,266,203,1405,5639,371,1448,7569,7661,4,4,4,7117,3904,7.0
21065,5622,5758,6008,191,610,377,2900,10190,770,3920,14220,14406,28,42,28,13487,2631,53.0
