GEO.id2,HC01_VC03,HC01_VC35,HC01_VC42,HC01_VC51,HC01_VC61,HC01_VC69,HC01_VC75,HC01_VC84,HC01_VC99,HC01_VC104,HC01_VC117,HC01_VC128,HC01_VC138,HC01_VC144,HC01_VC156,HC01_VC167,HC01_VC183,TotalDrugReports
21001,7272,7432,7646,278,271,236,4541,12228,1321,0,18378,18542,127,212,127,16784,2845,7.0
21003,7811,7638,8114,404,477,314,4549,13142,1417,0,19416,19688,325,615,325,17557,3951,30.0
21005,8319,8015,8681,261,517,369,5407,14156,1738,0,20857,21080,363,476,363,19011,4914,34.0
21007,3363,3288,3416,134,51,51,1911,5791,736,0,8080,8225,92,114,92,7602,1064,1.0
21009,16727,15895,17435,710,1109,605,9693,28523,2800,0,41150,41685,620,723,620,37372,9601,62.0
21011,4338,4464,4710,206,585,536,2730,7851,660,0,11332,11565,33,41,33,10628,2943,52.0
21013,10902,11207,12393,487,812,601,6528,19716,1797,0,28408,28793,80,153,80,26691,15309,263.0
21015,41612,42576,44723,1620,1832,807,32039,73330,8232,0,113121,114723,5075,6151,5075,99578,10673,144.0
21017,8132,7735,8308,273,362,185,4796,13648,1558,0,19684,19947,837,1049,837,17685,4765,48.0
21019,19542,20142,20575,539,1365,698,10839,35017,4850,0,48830,49330,556,729,556,45442,7920,307.0
21021,10787,11296,11844,398,365,224,7411,18983,2287,0,27921,28245,790,1037,790,25532,7449,60.0
21023,3177,3301,3384,148,232,130,2004,5610,514,0,8319,8479,58,93,58,7789,693,10.0
21025,5257,5779,5777,136,214,117,2929,9749,687,0,14040,14202,83,127,83,13146,5200,104.0
21027,7474,7873,7929,211,585,315,4601,13560,1763,0,19626,19893,70,159,70,18158,2388,13.0
21029,27266,28280,29044,939,1811,914,18902,48084,6214,0,71816,72515,721,1198,721,66548,18799,126.0
21031,5175,5145,5232,272,224,161,2682,8774,999,0,12522,12763,178,313,178,11730,4047,5.0
21033,5261,4905,5662,150,167,146,3038,9110,1141,0,12830,12934,132,186,132,11842,2900,11.0
21035,14844,14761,16466,409,460,233,12300,22347,2595,0,36411,36763,1142,1309,1142,32994,6069,4.0
21037,35300,34813,37347,1428,2122,1090,25252,58522,7066,0,87776,89016,1567,1859,1567,81495,8364,230.0
21039,2062,2039,2197,56,116,76,1043,3602,434,0,5083,5126,23,27,23,4759,964,6.0
21041,4222,4236,4281,130,289,159,2278,7063,787,0,10621,10703,497,509,497,9221,2137,55.0
21043,10577,10998,11519,320,288,213,6868,18703,2066,0,27457,27821,64,232,64,25998,5181,239.0
21045,6012,6148,6592,153,323,183,3572,10912,1234,0,15762,15939,212,262,212,14411,6923,57.0
21047,25923,27959,26897,1782,1172,568,18772,41563,8159,0,71250,72678,2101,4177,2101,61220,11811,50.0
21049,14535,13675,14733,620,994,650,8035,24262,2811,0,34752,35305,460,631,460,31953,9095,159.0
21051,6520,9558,8645,227,385,174,4975,15049,915,0,22059,22197,245,253,245,20530,10346,84.0
21053,4184,3999,4167,126,381,201,2380,6935,660,0,10014,10161,182,182,182,9325,1564,23.0
21055,3749,3679,3824,31,328,188,1892,6374,771,0,9298,9313,56,111,56,8053,2279,12.0
21057,2660,2740,2972,0,76,21,1395,4788,528,0,6931,6931,7,83,7,6181,1397,7.0
21059,37644,36300,39665,1160,2166,1190,24024,63474,7837,0,94280,95398,1738,2054,1738,86313,26731,38.0
21061,4752,5017,4940,156,199,115,2593,8223,906,0,11952,12086,120,141,120,11124,2322,10.0
21063,2546,3416,2763,81,84,72,1522,5151,461,0,7435,7493,0,0,0,6804,3177,86.0
21065,5604,5869,6043,158,305,218,2853,10244,869,0,14507,14733,43,113,43,13539,5921,39.0
21067,120917,115359,121527,3855,4143,2210,83499,185370,19689,0,284501,288045,24586,26897,24586,240944,35561,547.0
21069,5568,5581,5869,145,227,170,3420,9623,1004,0,14185,14318,77,87,77,12741,2435,49.0
21071,15542,15473,17147,415,1093,799,8241,27592,2466,0,39359,39949,179,225,179,37079,15307,177.0
21073,20878,19188,20884,539,833,427,11730,33519,4376,0,48549,49067,1560,1801,1560,44046,9140,108.0
21075,2931,2788,2931,88,89,62,1265,4892,640,0,6800,6858,37,42,37,6216,1389,24.0
21077,2971,3252,3344,108,334,187,2057,5445,570,0,8270,8428,344,381,344,7506,768,8.0
21079,6294,6591,7026,158,393,324,3710,11924,1216,0,16574,16842,215,224,215,15491,5429,27.0
21081,8906,9245,9565,562,727,440,6494,15585,1687,0,24047,24604,271,479,271,22085,3535,39.0
21083,14679,14191,15181,457,787,430,9144,25124,2803,0,36498,36958,1192,1345,1192,32173,6171,14.0
21085,9902,10009,10202,308,503,235,6128,17193,1557,0,25231,25540,104,239,104,23633,5657,49.0
21087,4435,4525,4760,121,207,98,2410,8021,913,0,11231,11377,149,154,149,10468,3057,8.0
21089,14374,14229,15808,352,1092,696,8176,25806,3389,0,36637,36962,404,528,404,34173,5657,74.0
21091,3234,3368,3368,123,149,126,2227,5708,888,0,8441,8555,44,89,44,7840,2063,0.0
21093,37426,39063,40148,1531,1685,916,26941,64604,14009,0,99495,100876,4230,7370,4230,87771,15351,58.0
21095,10700,11531,12533,455,874,624,6791,20301,2346,0,29263,29688,46,145,46,27429,9132,284.0
21097,7275,7241,7707,192,400,155,4292,12790,1473,0,18526,18761,219,264,219,17213,3494,61.0
21099,7050,7049,7426,328,477,248,4295,12191,1305,0,17919,18201,88,215,88,15959,5025,2.0
21101,18499,17563,19286,705,925,659,10339,31323,3431,0,45323,45943,562,739,562,41464,6109,8.0
21103,5917,5993,6233,195,417,266,3582,10491,1032,0,15291,15474,240,279,240,14044,3318,10.0
21105,2057,1946,2155,42,81,61,1106,3569,437,0,4875,4949,26,68,26,4636,924,0.0
21107,18401,18203,19683,463,1084,563,10742,32328,4055,0,46352,46886,621,832,621,42586,9497,72.0
21109,5728,5316,5591,165,230,174,3172,9245,711,0,13370,13560,18,38,18,12655,7019,52.0
21111,300561,278883,308892,10907,14806,7317,183683,493092,57714,0,720017,729452,41927,47257,41927,630831,78422,1293.0
21113,17482,17755,19361,630,907,373,13084,30075,3301,0,46551,47073,1512,1927,1512,41908,11237,204.0
21115,9151,9143,9734,351,704,471,4645,16091,1456,0,23015,23325,83,140,83,21721,8323,143.0
21117,61912,60615,64109,2496,3492,1481,41563,104296,11664,0,155411,158034,4201,4998,4201,140418,18981,499.0
