GEO.id2,HC01_VC03,HC01_VC35,HC01_VC42,HC01_VC51,HC01_VC61,HC01_VC69,HC01_VC75,HC01_VC84,HC01_VC99,HC01_VC104,HC01_VC117,HC01_VC128,HC01_VC138,HC01_VC144,HC01_VC156,HC01_VC167,HC01_VC183
21001,7236,7428,7766,193,287,263,4570,12372,1360,3343,18538,18651,188,240,188,17161,3248
21003,7980,7782,8264,325,497,275,4644,13429,1576,3585,19756,20007,269,828,269,17681,3828
21005,8369,8193,8893,268,500,325,5289,14469,1579,3135,21163,21442,283,391,283,19436,5590
21007,3379,3327,3483,166,208,134,1857,5870,755,1346,8137,8268,94,111,94,7635,1312
21009,16848,16157,17676,491,1181,636,10015,28802,2583,7634,41820,42229,581,619,581,38394,8973
21011,4421,4510,4722,205,479,379,2689,7892,624,2743,11478,11665,73,84,73,10696,2906
21013,10881,11155,12331,467,900,604,6441,19753,1725,7059,28243,28613,92,209,92,26670,12574
21015,42617,44598,46406,1761,2258,1008,33718,76832,8550,11853,117841,119406,5555,6816,5555,103604,12182
21017,7971,7768,8340,324,405,248,4628,13686,1516,3178,19702,20004,1004,1126,1004,17586,5649
21019,19608,20134,20579,590,1581,922,10470,35131,4537,9453,48861,49358,586,801,586,45424,8024
21021,11143,11457,11991,387,454,227,7384,19188,2204,4784,28055,28445,802,922,802,25644,6993
21023,3231,3360,3363,166,266,175,1924,5637,564,1459,8305,8488,131,142,131,7747,1208
21025,5297,5721,5741,124,296,229,3220,9538,651,4095,13843,13922,86,122,86,12906,5250
21027,7405,7968,8026,170,540,330,4594,13729,1565,3998,19871,20068,114,199,114,18349,2996
21029,27791,29111,30108,910,2059,1045,19199,49779,6152,10897,73825,74431,647,1084,647,68668,22856
21031,5052,5124,5133,171,223,164,2794,8739,876,2209,12592,12748,218,311,218,11693,4850
21033,5092,5060,5501,229,374,174,2813,9071,1039,2741,12761,12977,43,102,43,11966,2869
21035,14998,14803,16816,392,512,224,12535,22450,2679,4868,36814,37198,1412,1493,1412,33323,8292
21037,35235,35456,37696,1306,2012,919,25303,59501,6240,11598,88776,90119,1738,2079,1738,81484,8538
21039,2085,1995,2158,64,83,52,1072,3562,386,752,5033,5081,36,42,36,4697,745
21041,4268,4305,4297,196,268,129,2403,7147,781,1958,10717,10851,554,571,554,9223,2842
21043,10412,11010,11368,228,455,320,6680,18538,1881,5304,27249,27594,90,138,90,25750,4861
21045,6162,6183,6605,156,471,240,3489,10916,1102,3095,15771,15984,159,197,159,14379,7433
21047,26100,28425,27099,1679,1365,697,19575,42375,7182,9064,72315,73722,2409,4089,2409,61923,13360
21049,14547,13770,14874,402,855,503,8047,24650,2649,5791,35217,35555,533,819,533,32290,10795
21051,6971,9626,8340,262,667,486,4749,14994,784,4124,21599,21833,148,176,148,20033,6265
21053,3908,4045,4237,103,404,257,2371,6987,765,1704,10145,10244,116,116,116,9446,1562
21055,3835,3752,3792,101,315,158,1831,6545,862,1678,9195,9321,61,120,61,8156,2075
21057,2605,2747,2877,13,157,71,1408,4787,529,1399,6831,6857,42,75,42,6324,1432
